v293r5_design_ship -- shipping candidates x every world x every test

======================================================================================================================================================
WORLD mode (b .0006, J 1e-4) | hold NEED x1.0
  cfg                              v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  ALT-B Kp.85                     12 | 0.042 0.044 0.016 0.025    | 0.85 +0.07 0.370  |   0.06  | 0.040    3.6  0 0.081          | 0.58 0.87 +0.25   8.2 +0.79     |  0.64  1 0.150 +0.060 0.551 0.04
  ALT-B Kp.85                     19 | 0.083 0.074 0.004 0.046    | 0.80 +0.12 0.371  |   0.33  | 0.045    3.6  0 0.101          | 0.66 1.11 +0.46   3.6 +0.66     |  0.40  0 0.208 +0.083 0.473 0.08
  ALT-B Kp.85                     26 | 0.112 0.082 0.022 0.052    | 0.77 +0.15 0.369  |   0.09  | 0.047    3.6  0 0.109          | 0.68 1.23 +0.59   3.6 +0.53     |  0.36  0 0.219 +0.087 0.444 0.10
  ALT-C Kv6e-4                     6 | 0.021 0.021 0.004 0.013    | 0.80 +0.11 0.365  |   1.33  | 0.032   11.4  1 0.064          | 0.52 0.68 +0.15  36.2 +1.75     |  2.52  2 0.146 +0.058 0.494 0.44
  ALT-C Kv6e-4                     8 | 0.035 0.034 0.001 0.021    | 0.76 +0.18 0.365  |   1.59  | 0.033    7.4  1 0.071          | 0.53 0.68 +0.18  22.2 +1.20     |  1.76  2 0.152 +0.061 0.444 0.12
  ALT-C Kv6e-4                    12 | 0.044 0.045 0.013 0.026    | 0.84 +0.09 0.372  |   0.23  | 0.040    3.6  0 0.082          | 0.59 0.85 +0.25   8.2 +0.78     |  0.64  1 0.148 +0.059 0.539 0.04
  ALT-C Kv6e-4                    19 | 0.084 0.072 0.007 0.047    | 0.79 +0.14 0.372  |   0.46  | 0.044    3.6  0 0.100          | 0.65 0.97 +0.45   3.6 +0.64     |  0.42  0 0.208 +0.083 0.461 0.07
  ALT-C Kv6e-4                    26 | 0.109 0.075 0.026 0.050    | 0.76 +0.16 0.370  |   0.06  | 0.046    3.6  0 0.107          | 0.67 1.12 +0.56   3.6 +0.51     |  0.36  0 0.216 +0.086 0.436 0.10
  SHIP DOB.8                       6 | 0.018 0.017 0.001 0.011    | 0.80 +0.09 0.362  |   0.86  | 0.032   11.0  1 0.060          | 0.51 0.66 +0.14  37.3 +1.67     |  2.68  2 0.115 +0.046 0.500 0.57
  SHIP DOB.8                       8 | 0.030 0.027 0.001 0.017    | 0.76 +0.15 0.361  |   1.13  | 0.032    7.1  1 0.067          | 0.51 0.66 +0.18  23.0 +1.19     |  1.80  2 0.122 +0.049 0.447 0.25
