v293r5_loopshape -- linear margins of the fork loop on the V293 plant.  Plant e^{-s Td}/(a + b s + J s^2), J 1e-4,
Td 0.04 + 0.02 meas, a = hold slope at 0 deg.  Controller: fork P (lsf) + I via LAF 14, notch Q (0 = off), rate loop Kv tapered 12/v.
Columns: Ms | wc Hz | PM deg | |S| at 0.1 / 0.2 / 0.5 / 1 Hz | static stiffness (1+L0, Ki=0) | stiction residual F/stiff: deg, m/s^2

==================================================================================================================================
plant damping b = IDENT F1 per band (0.0018/0.0037/0.0041/0.0049)

  v    8 m/s  a 0.0052 torque/deg  b 0.0018  mode_hz(fork) 1.28  A 0.022 m/s^2 per deg  lsf 1.823
  cfg                                |    Ms    wc     PM |   S.1   S.2   S.5    S1 |  stiff |    deg   m/s2
  Kp2.5 Ki0.6 NO notch Kv1e-3        |  1.77  0.96  117.1 |  0.45  0.46  0.49  0.60 |   2.23 |   0.61  0.029
  Kp2.0 Ki0 NO notch Kv0 (no rate loop) |  1.39  0.27  152.7 |  0.49  0.50  0.57  0.83 |   2.04 |   0.67  0.032

  v   19 m/s  a 0.0111 torque/deg  b 0.0020  mode_hz(fork) 1.87  A 0.105 m/s^2 per deg  lsf 0.189
  cfg                                |    Ms    wc     PM |   S.1   S.2   S.5    S1 |  stiff |    deg   m/s2
  R4 flown: Kp.85 Ki.6/2.5 notch1 Kv6e-4 |  1.27  0.37   87.1 |  0.29  0.50  0.84  1.21 |   1.70 |   0.64  0.067
  Kp.85 Ki0 notch1 Kv6e-4            |  1.26   nan    nan |  0.59  0.60  0.68  0.97 |   1.70 |   0.64  0.067
  Kp.85 Ki0 NO notch Kv6e-4          |  1.34   nan    nan |  0.59  0.59  0.62  0.74 |   1.70 |   0.64  0.067
  Kp1.5 Ki0 NO notch Kv6e-4          |  1.58  0.78  122.7 |  0.47  0.47  0.51  0.64 |   2.15 |   0.50  0.053
  Kp2.0 Ki0 NO notch Kv6e-4          |  1.85  1.36   83.2 |  0.40  0.41  0.44  0.57 |   2.49 |   0.44  0.046
  Kp2.5 Ki0 NO notch Kv6e-4          |  2.22  1.73   60.6 |  0.36  0.36  0.39  0.51 |   2.82 |   0.38  0.040
