v293r5_design_dobb -- the observer's model b, every world.  R5 = Kp 1.2, notch Q1, Kv 6e-4 rc .03, DOB .8, Ki .3 flat unless named.

======================================================================================================================================================
WORLD mode (b .0006, J 1e-4) | hold NEED x1.0
  cfg                            v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  R5 dobb .0006                  6 | 0.026 0.017 0.001 0.013    | 0.69 +0.17 0.348  |   1.90  | 0.030   13.6  1 0.060          | 0.47 0.56 +0.20  52.7 +2.29     |  5.90  3 0.288 +0.115 0.375 0.55
  R5 dobb .0006                  8 | 0.042 0.021 0.003 0.019    | 0.67 +0.23 0.349  |   1.57  | 0.031    9.0  1 0.067          | 0.48 0.56 +0.19  33.0 +1.28     |  4.27  2 0.278 +0.111 0.353 0.56
  R5 dobb .0006                 12 | 0.062 0.022 0.003 0.028    | 0.65 +0.23 0.342  |   0.86  | 0.032    5.3  1 0.075          | 0.48 0.55 +0.20  18.5 +0.62     |  3.20  3 0.340 +0.136 0.332 0.55
  R5 dobb .0006                 19 | 0.109 0.029 0.007 0.048    | 0.63 +0.18 0.340  |   0.56  | 0.037    3.5  0 0.092          | 0.52 0.59 +0.28   9.4 +0.40     |  2.69  0 0.239 +0.095 0.342 0.57
  R5 dobb .0006                 26 | 0.124 0.001 0.014 0.053    | 0.62 +0.11 0.335  |   0.07  | 0.039    3.6  0 0.097          | 0.53 0.59 +0.34   6.4 +0.30     |  2.03  0 0.153 +0.061 0.344 0.54
  R5 dobb .0010                  6 | 0.026 0.016 0.001 0.012    | 0.69 +0.10 0.347  |   1.32  | 0.032   13.4  1 0.060          | 0.47 0.56 +0.15  51.9 +1.79     |  5.98  2 0.150 +0.060 0.404 0.55
  R5 dobb .0010                  8 | 0.041 0.020 0.002 0.018    | 0.68 +0.16 0.346  |   1.21  | 0.032    8.9  1 0.067          | 0.48 0.57 +0.16  32.7 +1.04     |  4.17  2 0.158 +0.063 0.375 0.56
  R5 dobb .0010                 12 | 0.063 0.022 0.003 0.027    | 0.65 +0.18 0.340  |   0.71  | 0.034    5.3  1 0.075          | 0.48 0.55 +0.18  18.4 +0.56     |  3.09  3 0.244 +0.097 0.341 0.57
  R5 dobb .0010                 19 | 0.111 0.017 0.027 0.045    | 0.63 +0.14 0.339  |   0.60  | 0.038    3.5  0 0.092          | 0.52 0.59 +0.26   9.4 +0.36     |  2.89  0 0.191 +0.076 0.351 0.57
  R5 dobb .0010                 26 | 0.115 0.002 0.017 0.052    | 0.63 +0.08 0.335  |   0.21  | 0.039    3.6  0 0.097          | 0.53 0.59 +0.32   6.4 +0.29     |  2.10  0 0.129 +0.051 0.352 0.53
  R5 dobb .0006 Kv1e-3 rc.01     6 | 0.023 0.019 0.001 0.012    | 0.69 +0.12 0.345  |   1.55  | 0.029   11.6  1 0.057          | 0.46 0.56 +0.14  48.1 +1.66     |  4.76  2 0.224 +0.090 0.374 0.59
  R5 dobb .0006 Kv1e-3 rc.01     8 | 0.036 0.028 0.002 0.018    | 0.68 +0.18 0.346  |   1.38  | 0.030    7.6  1 0.065          | 0.47 0.57 +0.14  30.0 +0.93     |  3.15  2 0.230 +0.092 0.347 0.57
  R5 dobb .0006 Kv1e-3 rc.01    12 | 0.058 0.027 0.003 0.027    | 0.65 +0.20 0.341  |   0.87  | 0.032    4.6  0 0.073          | 0.47 0.55 +0.16  16.9 +0.50     |  1.99  3 0.318 +0.127 0.320 0.62
  R5 dobb .0006 Kv1e-3 rc.01    19 | 0.106 0.028 0.007 0.047    | 0.64 +0.17 0.339  |   0.36  | 0.036    3.5  0 0.091          | 0.52 0.59 +0.29   9.2 +0.41     |  2.02  0 0.232 +0.093 0.341 0.57
  R5 dobb .0006 Kv1e-3 rc.01    26 | 0.113 0.024 0.009 0.056    | 0.63 +0.11 0.335  |   0.17  | 0.038    3.6  0 0.097          | 0.53 0.59 +0.36   6.3 +0.32     |  1.81  0 0.156 +0.062 0.345 0.52
