
##### V282old minus V282  (lags in s; gap [95% CI]; pred = transfer-function shaping gap)
vb    band      terc    sec V/T |                  x->sp    pred |                sp->act |              act->pose |                x->pose |         COMMON x->pose | ctlV/T
15-22 0.3-0.6   hi      82/83   |    +0.087[+0.08,+0.09] +0.089 |    +0.148[+0.09,+0.20] |    -0.000[-0.02,+0.01] |    +0.238[+0.17,+0.29] |    +0.132[+0.06,+0.19] | 0.300/0.303
15-22 0.3-0.6   all    665/305  |    +0.087[+0.08,+0.09] +0.089 |    +0.165[+0.12,+0.22] |    -0.004[-0.03,+0.01] |    +0.239[+0.18,+0.29] |    +0.134[+0.07,+0.19] | 0.300/0.302
>22   0.3-0.6   lo    1061/41   |    +0.073[+0.05,+0.08] +0.083 |    +0.211[+0.07,+0.34] |    -0.079[-0.12,-0.02] |    +0.209[+0.09,+0.38] |    +0.084[-0.05,+0.27] | 0.299/0.292
>22   0.3-0.6   mid    576/77   |    +0.085[+0.08,+0.09] +0.088 |    +0.205[+0.15,+0.25] |    -0.091[-0.11,-0.03] |    +0.191[+0.15,+0.27] |    +0.087[+0.05,+0.16] | 0.300/0.300
>22   0.3-0.6   hi     265/149  |    +0.086[+0.08,+0.09] +0.089 |    +0.171[+0.12,+0.21] |    -0.044[-0.07,+0.01] |    +0.207[+0.15,+0.27] |    +0.106[+0.05,+0.17] | 0.299/0.300
>22   0.3-0.6   all   1903/267  |    +0.086[+0.08,+0.09] +0.089 |    +0.167[+0.12,+0.20] |    -0.058[-0.08,-0.00] |    +0.180[+0.13,+0.25] |    +0.078[+0.03,+0.14] | 0.299/0.300
2-8   0.6-1.2   lo     194/42   |    +0.040[+0.03,+0.05] +0.042 |    +0.055[-0.25,+0.26] |    +0.003[-0.02,+0.07] |    +0.157[+0.09,+0.22] |    +0.022[-0.15,+0.12] | 0.301/0.299
2-8   0.6-1.2   mid    143/31   |    +0.045[+0.02,+0.05] +0.047 |    +0.096[-0.02,+0.22] |    -0.019[-0.08,+0.01] |    +0.104[+0.02,+0.22] |    +0.005[-0.08,+0.12] | 0.300/0.301
2-8   0.6-1.2   hi      54/27   |    +0.044[+0.02,+0.07] +0.057 |    -0.138[-0.78,+0.37] |    -0.008[-0.04,+0.02] |    -0.120[-0.91,+0.24] |    -0.222[-0.93,+0.18] | 0.297/0.298
2-8   0.6-1.2   all    391/101  |    +0.042[+0.02,+0.06] +0.055 |    -0.138[-0.79,+0.45] |    -0.008[-0.03,+0.02] |    -0.123[-0.93,+0.26] |    -0.225[-0.95,+0.23] | 0.298/0.298
8-15  0.6-1.2   lo     257/102  |    +0.043[+0.04,+0.05] +0.049 |    +0.071[-0.00,+0.13] |    -0.005[-0.05,+0.03] |    +0.057[+0.00,+0.13] |    -0.033[-0.08,+0.03] | 0.299/0.295
8-15  0.6-1.2   mid    252/131  |    +0.046[+0.04,+0.05] +0.052 |    +0.048[+0.02,+0.08] |    -0.004[-0.03,+0.05] |    +0.068[+0.03,+0.14] |    -0.030[-0.07,+0.04] | 0.301/0.299
8-15  0.6-1.2   hi     211/118  |    +0.048[+0.03,+0.07] +0.055 |    -0.023[-0.07,+0.03] |    -0.011[-0.03,+0.00] |    +0.015[-0.06,+0.07] |    -0.086[-0.15,-0.03] | 0.297/0.294
8-15  0.6-1.2   all    721/352  |    +0.047[+0.03,+0.06] +0.055 |    -0.014[-0.06,+0.04] |    -0.009[-0.02,+0.00] |    +0.021[-0.05,+0.08] |    -0.080[-0.14,-0.02] | 0.298/0.295
15-22 0.6-1.2   lo     271/115  |    +0.042[+0.04,+0.05] +0.049 |    +0.034[-0.04,+0.08] |    +0.029[+0.00,+0.08] |    +0.059[-0.01,+0.12] |    -0.042[-0.13,+0.02] | 0.299/0.293
