# EVENTS (matched high-desired-jerk, s2 matcher): median paired gap vs V282, s  [route-2-sided 95% CI]
group    speed   pairs |              shaping |        loop+plant+RT |              vehicle |         TOTAL logged |   lead |         TOTAL common
T64B  8-15  0.15-0.3 mid   |  +0.113[+0.11,+0.12](+0.109) |  +0.229[+0.13,+0.32] |  -0.013[-0.03,+0.01] |  +0.324[+0.22,+0.42] |  +0.223[+0.12,+0.32]
T64B  8-15  0.15-0.3 hi    |  +0.110[+0.10,+0.12](+0.110) |  -0.008[-0.10,+0.11] |  -0.002[-0.01,+0.02] |  +0.096[+0.01,+0.22] |  -0.001[-0.08,+0.12]
T64B  8-15  0.15-0.3 all   |  +0.110[+0.10,+0.12](+0.110) |  +0.022[-0.06,+0.13] |  -0.004[-0.01,+0.01] |  +0.122[+0.04,+0.24] |  +0.025[-0.05,+0.14]
T64B  15-22 0.15-0.3 mid   |  +0.112[+0.11,+0.12](+0.111) |  +0.290[+0.18,+0.36] |  -0.024[-0.06,+0.00] |  +0.380[+0.24,+0.47] |  +0.277[+0.14,+0.36]
T64B  15-22 0.15-0.3 hi    |  +0.110[+0.11,+0.12](+0.110) |  +0.047[-0.06,+0.16] |  +0.013[-0.02,+0.04] |  +0.171[+0.07,+0.28] |  +0.071[-0.03,+0.17]
T64B  15-22 0.15-0.3 all   |  +0.110[+0.11,+0.12](+0.110) |  +0.071[-0.04,+0.19] |  +0.003[-0.03,+0.02] |  +0.181[+0.06,+0.31] |  +0.081[-0.04,+0.21]
T64B  >22   0.15-0.3 lo    |  +0.116[+0.11,+0.13](+0.110) |  +0.088[+0.03,+0.16] |  -0.134[-0.18,-0.03] |  +0.011[-0.05,+0.20] |  -0.098[-0.16,+0.07]
T64B  >22   0.15-0.3 mid   |  +0.111[+0.10,+0.11](+0.112) |  +0.097[-0.05,+0.17] |  -0.031[-0.09,+0.03] |  +0.183[-0.06,+0.29] |  +0.079[-0.16,+0.19]
T64B  >22   0.15-0.3 hi    |  +0.111[+0.11,+0.12](+0.110) |  +0.089[-0.00,+0.15] |  -0.012[-0.07,+0.04] |  +0.192[+0.05,+0.31] |  +0.090[-0.05,+0.21]
T64B  >22   0.15-0.3 all   |  +0.111[+0.11,+0.12](+0.110) |  +0.081[-0.02,+0.14] |  -0.024[-0.08,+0.02] |  +0.168[+0.01,+0.28] |  +0.066[-0.09,+0.18]
T64B  8-15  0.3-0.6  lo    |  +0.087[+0.08,+0.09](+0.089) |  +0.164[+0.05,+0.23] |  +0.000[-0.05,+0.03] |  +0.231[+0.09,+0.32] |  +0.136[-0.00,+0.22]
T64B  8-15  0.3-0.6  mid   |  +0.092[+0.09,+0.10](+0.089) |  +0.086[+0.03,+0.15] |  -0.018[-0.05,+0.03] |  +0.160[+0.09,+0.25] |  +0.057[-0.01,+0.15]
T64B  8-15  0.3-0.6  hi    |  +0.091[+0.08,+0.11](+0.089) |  -0.040[-0.15,+0.09] |  +0.019[+0.00,+0.04] |  +0.078[-0.02,+0.22] |  -0.027[-0.13,+0.11]
T64B  8-15  0.3-0.6  all   |  +0.091[+0.08,+0.11](+0.089) |  -0.030[-0.13,+0.09] |  +0.014[+0.00,+0.03] |  +0.082[-0.03,+0.21] |  -0.022[-0.13,+0.10]
T64B  15-22 0.3-0.6  lo    |  +0.085[+0.08,+0.09](+0.090) |  +0.106[-0.10,+0.21] |  -0.011[-0.10,+0.06] |  +0.100[-0.08,+0.19] |  -0.011[-0.19,+0.09]
T64B  15-22 0.3-0.6  mid   |  +0.090[+0.09,+0.09](+0.091) |  +0.131[-0.02,+0.21] |  -0.020[-0.04,+0.01] |  +0.192[+0.01,+0.28] |  +0.090[-0.09,+0.18]
T64B  15-22 0.3-0.6  hi    |  +0.087[+0.08,+0.09](+0.091) |  +0.053[-0.01,+0.14] |  +0.004[-0.02,+0.02] |  +0.138[+0.06,+0.24] |  +0.040[-0.04,+0.14]
T64B  15-22 0.3-0.6  all   |  +0.088[+0.08,+0.09](+0.091) |  +0.054[-0.01,+0.15] |  -0.001[-0.03,+0.01] |  +0.125[+0.04,+0.24] |  +0.026[-0.06,+0.13]
T64B  >22   0.3-0.6  lo    |  +0.083[+0.07,+0.09](+0.087) |  +0.003[-0.36,+0.15] |  -0.070[-0.11,-0.03] |  -0.019[-0.38,+0.13] |  -0.132[-0.45,+0.02]
T64B  >22   0.3-0.6  mid   |  +0.086[+0.08,+0.09](+0.087) |  +0.176[+0.00,+0.24] |  -0.057[-0.10,+0.01] |  +0.194[+0.03,+0.26] |  +0.091[-0.07,+0.16]
T64B  >22   0.3-0.6  hi    |  +0.087[+0.08,+0.09](+0.089) |  +0.177[+0.11,+0.20] |  -0.064[-0.09,-0.01] |  +0.188[+0.15,+0.24] |  +0.088[+0.05,+0.14]
T64B  >22   0.3-0.6  all   |  +0.086[+0.08,+0.09](+0.089) |  +0.165[+0.08,+0.21] |  -0.064[-0.09,-0.01] |  +0.168[+0.12,+0.23] |  +0.066[+0.02,+0.13]
T64B  8-15  0.6-1.2  lo    |  +0.045[+0.04,+0.05](+0.053) |  +0.035[+0.01,+0.06] |  -0.005[-0.03,+0.04] |  +0.001[-0.04,+0.05] |  -0.093[-0.13,-0.04]
T64B  8-15  0.6-1.2  mid   |  +0.050[+0.04,+0.06](+0.054) |  -0.003[-0.04,+0.03] |  -0.012[-0.04,+0.04] |  +0.035[+0.00,+0.09] |  -0.069[-0.11,-0.01]
T64B  8-15  0.6-1.2  hi    |  +0.059[+0.05,+0.08](+0.058) |  -0.132[-0.16,-0.05] |  -0.002[-0.02,+0.01] |  -0.079[-0.11,-0.01] |  -0.181[-0.22,-0.11]
T64B  8-15  0.6-1.2  all   |  +0.057[+0.05,+0.07](+0.057) |  -0.127[-0.16,-0.05] |  +0.001[-0.01,+0.01] |  -0.076[-0.11,-0.01] |  -0.178[-0.21,-0.11]
T64B  15-22 0.6-1.2  lo    |  +0.043[+0.04,+0.05](+0.049) |  +0.015[-0.01,+0.10] |  +0.075[+0.03,+0.12] |  +0.025[-0.01,+0.09] |  -0.059[-0.10,+0.02]
T64B  15-22 0.6-1.2  mid   |  +0.047[+0.04,+0.05](+0.052) |  +0.013[-0.06,+0.22] |  +0.011[-0.03,+0.04] |  -0.004[-0.12,+0.17] |  -0.091[-0.20,+0.12]
T64B  15-22 0.6-1.2  hi    |  +0.050[+0.04,+0.05](+0.056) |  -0.088[-0.11,-0.05] |  +0.019[-0.01,+0.03] |  -0.029[-0.07,+0.00] |  -0.129[-0.16,-0.10]
T64B  15-22 0.6-1.2  all   |  +0.049[+0.04,+0.05](+0.055) |  -0.085[-0.10,+0.01] |  +0.023[-0.00,+0.03] |  -0.033[-0.07,+0.00] |  -0.132[-0.16,-0.10]
T64B  >22   0.6-1.2  lo    |  +0.050[+0.05,+0.06](+0.055) |  -0.007[-0.06,+0.05] |  +0.022[-0.07,+0.06] |  -0.051[-0.12,-0.01] |  -0.143[-0.22,-0.09]
T64B  >22   0.6-1.2  mid   |  +0.052[+0.05,+0.06](+0.055) |  -0.030[-0.09,+0.03] |  +0.029[-0.03,+0.05] |  +0.006[-0.04,+0.05] |  -0.095[-0.14,-0.04]
